smiles,score
CC(C)COC(=O)C(C)NCc1coc(-c2ccccc2F)n1,-14.363483
Cc1ccc2nc(C)cc(C(=O)NCCOCCCNC(=O)C34CCC(C)(C(=O)O3)C4(C)C)c2c1,-6.990964
CC1(NC(=O)c2ccc(-n3cncn3)cc2)CN(C(=O)c2ccc(-n3cc[nH]c3=O)cc2)C1,-33.009322
CN(Cc1cccc2c1OCO2)C(=O)c1cc(C2CC2)[nH]c1C1CC1,-21.257507
O=C(NCC1CCN(C(=O)c2ccc(-c3ccncc3)cc2)CC1)c1ccc2c(=O)[nH][nH]c(=O)c2c1,-33.849418
COc1ccc(C2CC2Nc2cc(=O)[nH]c(=O)n2C)cc1,-26.005894
COC(=O)CNC(=O)Cc1ccc(NC(=O)c2ncc[nH]2)cc1,-17.711061
Cc1cccc(C(=O)NC2CC3(C2)CN(C(=O)c2cc(C)n(-c4cccc(C)c4)c2C)C3)c1,-15.361043
O=C(NC1CC(NC(=O)C2CCN(c3cc(=O)[nH]cn3)CC2)C1)c1ccc(-c2cn[nH]c2)cc1,-35.267517
O=C(NC1CCC1NC(=O)c1coc2ccc(O)cc12)c1ccc2c(=O)[nH]cnc2c1,-32.701696
O=C(CC1Sc2ccccc2NC1=O)NC1CC(O)CN(C(=O)CCOCc2ccccc2)C1,-18.59498
CC1CC2CCCC2N1S(=O)(=O)c1cccc(Br)c1,-17.360563
O=C(NCC1CCCN1C(=O)c1cc2cc(O)ccc2[nH]1)c1[nH]c2ccc(Cl)cc2c1Cl,-35.126564
O=C(NC12CC(NC(=O)c3ccc4n[nH]c(=O)n4c3)(C1)C2)c1ccc(O)cc1,-32.030147
CC(C)C(NC(=O)OC(C)(C)C)C(=O)NC1(CCNC(=O)C2CCC(Oc3ccccc3)CC2)CCC1,-0.380034
CCC(C)(C#N)NC(=O)c1cc(=O)[nH]c(C)n1,-13.101268
O=S(=O)(Cc1ccc(Cl)cc1)NC1CCCCC1Cc1ccccc1,-20.148328
COc1ccc(Cl)cc1C(=O)N1CC2CC(NC(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C1C2,-18.568349
Cn1ccc(CCNC(=O)C(=O)Nc2c(F)c(F)c(F)c(F)c2F)n1,-21.150293
O=C(Cc1cccc2nonc12)NC1CCC(NC(=O)c2cc3cc(O)ccc3[nH]2)C1,-33.454258
O=C(NC1CC(NC(=O)c2cc(-c3ccncc3)n[nH]c2=O)C1)c1ccc2c(=O)[nH]cnc2c1,-33.716928
