smiles,score
CCCC(CC)OC(=O)C1CSC(c2ccccc2)=N1,-18.635626
O=C(Nc1cccc(-c2cccs2)c1)Nc1nc(-c2ccco2)c(-c2ccco2)s1,-31.792558
O=C(CNC(=O)c1ccc2ccccc2c1)NCC(NC(=O)c1cc(-c2cc[nH]n2)ccc1F)C1CC1,-32.960847
COc1cc(-c2cc(Cl)cc(C(F)F)c2)ccc1F,-24.007792
CCCC(NC(=O)N1CCCN(CCC)CC1)C(=O)OC,-21.981275
CC(C)Oc1cccc(/C=N/NC(=O)c2ccc(=O)n(C)c2)c1,-33.520364
CCOC1CC(N(C)Cc2cc(OC)ccn2)C12CCC2,-20.998531
NC(=O)CNS(=O)(=O)c1ccc(C(=O)N2CC(CNC(=O)c3ccc(-c4ccc(Cl)cc4)[nH]3)C2)o1,-40.186268
CCOC(=O)c1c(-c2ccccc2)csc1NC(=O)C(NCc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1)c1ccccc1,-26.584194
NS(=O)(=O)c1ccc(NC(=O)C(=O)NNC(=O)Cc2csc(-c3ccc(F)cc3)n2)cc1,-30.570724
COc1ccc(S(=O)(=O)N2CCN(C(=O)CN3CCCC3c3ccc4c(c3)OCCCO4)CC2)cc1OC,-20.044906
O=C(Cn1nc(-c2ccccc2)ccc1=O)NCC1(NC(=O)CNC(=O)c2ccco2)CC1,-37.210939
Cc1ccc(C(=O)NCC(=O)NCCCNC(=O)CCCc2csc(N)n2)s1,-31.343556
CC(=O)NCc1ccc(S(=O)(=O)NCC(=O)NCC(NC(=O)Cc2ccc(-c3ccccc3)cc2)C(C)C)s1,-32.889306
O=C(Nc1cc(S(=O)(=O)Nc2ccc(Cl)cc2)ccc1N1CCOCC1)NC(c1ccc(Cl)cc1)c1cccc(-c2ccccc2)c1,-21.673962
CCC(CC)CN1CCC(N(CC(C)C)C(=O)OC(C)(C)C)CC1,-13.262484
Cc1ccccc1C(=O)NC(CC(C)C)C(=O)N1CCN(C(=O)C2(Oc3ccccc3)CC2)CC1,-23.295687
Cc1cc(-n2c(C)cc(C(=O)NCC(C)(C)CNC(=O)C3CN(C)CC(C)O3)c2C)no1,-28.207013
Cn1c(C(F)(F)F)nc2cncc(C(=O)NCCNC(=O)C3=NNC(=O)C3)c21,-24.268124
CC(C)C(NC(=O)C(C)C(C)NC(=O)OC(C)(C)C)C(=O)OCCOCn1cnc2c(=O)[nH]c(N)nc21,-24.342994
CC(CCC(=O)N1CCCc2c(F)cc(F)cc21)c1ccccc1,-26.134829
CC1CN(Cc2ccc(C(=O)NC3CCCN(C(=O)c4cocn4)C3C)cc2)CCO1,-26.117954
NC(=O)Nc1cccc(CC(=O)NC/C=C/CNC(=O)c2c[nH]c3ccc(F)cc3c2=O)c1,-35.021794
COc1ccc(-c2cn(-c3cc(C)ccc3C(=O)NCC(=O)OCC3c4ccccc4-c4ccccc43)nn2)cc1OC,-21.0869
CCCc1nccn1CC(=O)NCC1CCCCN1C(=O)Cc1cccc(Cl)c1Cl,-22.138418
O=C(NC1CCC1NC(=O)c1cccc(NS(=O)(=O)c2cccs2)c1)c1ccc(Nc2ccccc2)cc1,-33.588024
O=C(Cc1ccccc1)NCCNC(=O)C(=O)NC1CCc2ccc(-c3ccccc3)cc21,-30.384383
Cc1cc(F)ccc1C(O)C(=O)NCCCCN(C)C(=O)C1CCCCCC1,-22.3935
Nc1nc(-c2ccccc2)c(CC(=O)NCC2CC(F)CN2C(=O)CNC(=O)NCc2ccco2)s1,-32.367198
O=C(NCc1cccc(-c2ccccn2)c1)C(=O)NCC1CCC(c2ccccc2)O1,-27.120204
CCCCC(CNC(=O)c1csc2ccccc12)NC(=O)C1CC1C(N)=O,-34.918225
COc1ccc2c(c1)CCC([N+]Cc1c(OC)cc(OC)c3ccc(Cl)nc13)C2,-17.471705
NC(=O)NC(CC(=O)NCCNC(=O)CCCc1csc2ccccc12)c1cccs1,-41.291414
O=C(NC1(CNC(=O)c2cccc(=O)[nH]2)CCC1)c1cc(-c2ccco2)c[nH]1,-32.809879
O=C(NC1COCC1NC(=O)c1cccc(=O)[nH]1)c1cc(-c2ccc3ccccc3c2)n[nH]1,-39.552159
CC1CCC1NC(=O)c1c(-c2ccccc2)c(-c2ccccc2)n[nH]c1=O,-27.889379
CNC(=O)CN1CCOC(C)(C)C1c1ccccc1,-20.621589
CC(C)C(NC(=O)c1cccs1)C(=O)Nc1cccc(NC(=O)C(Sc2ccc(F)cc2)c2ccccc2)c1,-35.84006
CC1(C)CCC(=O)c2cc(C(=O)N3CCCC3(C)CNC(=O)CS(=O)(=O)C3CC3)ccc21,-27.50463
NC(=O)CNS(=O)(=O)c1ccc(C(=O)NCC2CC2CNC(=O)c2cc(=O)c3cc(O)ccc3o2)o1,-35.685413
NC(=O)C1CC(NC(=O)C(=O)NCc2ccc3[nH]ccc3c2)C1,-33.188918
N#Cc1cccc(OCCNC2CC3CC2CC3c2ccccc2)c1,-24.925865
Cn1nc(-c2ccco2)cc1NC(=O)C12CC(C(F)(F)F)(C1)C2,-24.149916
O=C(CNS(=O)(=O)c1cccs1)NCCNC(=O)C(NC(=O)c1ccco1)c1ccccc1,-34.846747
Cc1ccc(C)c(OCC(=O)N2CC3(C2)CN(C(=O)C2CC(=O)N(C)C2)C3)c1,-20.589319
O=C(NCCc1ccc(OC(F)(F)F)cc1)c1ccc(F)c(S(=O)(=O)N2CCN(Cc3ccccc3)CC2)c1,-29.795607
Cc1nc(-c2cccc(C(=O)NCCNC(=O)CNS(=O)(=O)c3cn(C)cn3)c2)cs1,-34.37244
O=C1NCC2(CCN(Cc3cc(=O)n4ccccc4n3)CC2)O1,-24.202517
O=C(CCCc1nc2ccccc2o1)NCC1(NC(=O)CNC(=O)Nc2cccc([N+](=O)[O-])c2)CCC1,-26.44016
O=C(NNC(=O)c1cccc2[nH]ccc12)Nc1ccc(S(=O)(=O)Nc2ccc(F)cc2)cc1,-31.379209
COc1ccc(OCCN2CC=C(C(F)(F)F)CC2)cc1,-21.129311
C/C=C(/C)C(=O)NC(C)(C)CNC(=O)CSCCCC,-23.953778
Cc1c(C)c(C)c(S(=O)(=O)N(C)C2CC(C)(C)CC(C)(C)C2)c(C)c1C,-7.2459
O=C(Cc1ccc2cn[nH]c2c1)NC1CCC1NC(=O)c1cccn(Cc2ccccc2)c1=O,-36.7906
O=C(Cc1ccc2[nH]c(=O)[nH]c2c1)NCC1CC1CNC(=O)c1cc(-c2ccc(F)cc2)cs1,-32.105435
CC(C)C(NC(=O)C(=O)Nc1cccc2cccnc12)C(C)C,-24.389146
O=C(Cc1cccc(F)c1)NCC(=O)Nc1cccc(NC(=O)c2ccc(-c3ccc(C(F)(F)F)cc3)o2)c1,-29.269959
Cc1nn2c(SCC(=O)c3ccc(O)cc3O)nnc2[nH]c1=O,-28.960494
O=C(CC1Cc2ccccc2NC1=O)NC/C=C/CNC(=O)c1n[nH]c(=O)c2ccccc12,-28.380146
CC(C)COc1ncc(C(=O)N2CCN(C(=O)CS(C)(=O)=O)C(C)C2)cc1Cl,-21.561884
CC(C)(C)OC(=O)NC1CC(c2n[nH]c(N3CCCCC3)n2)C1,-19.704116
NC(=O)c1cn(CC(=O)NCC2CC2CNC(=O)Cc2ccc(-c3ccccc3)cc2)c(=O)[nH]c1=O,-31.138426
C/C=C(\C)C(=O)NCC1(NC(=O)C2CC(C)CCC2C(C)C)CC1,-22.956148
Cc1[nH]nc(C(=O)NC2(C)CNC2)c1Cl,-21.62303
CN(Cc1ccncc1Cl)Cc1cccnc1N1CCOCC1,-20.948238
O=C(Nc1ccc(Cl)c(C(=O)Nc2ccccc2)c1)c1cccc(-c2ccc(=O)[nH]n2)c1,-29.306626
